reference,method,policy_from,policy_to,f1_from,f1_to,coverage_from,coverage_to,quality_from,quality_to,delta_f1,coverage_term,quality_term,decomposition_error
dorothea_trrust_union_immune,probe_consensus,crosswalk,omnipath_ref,0.0001489215264053,0.0001489215264053,1.0,1.0,0.0001489215264053,0.0001489215264053,0.0,0.0,0.0,0.0
dorothea_trrust_union_immune,probe_consensus,full_genes,crosswalk,0.0001489215264053,0.0001489215264053,1.0,1.0,0.0001489215264053,0.0001489215264053,0.0,0.0,0.0,0.0
dorothea_trrust_union_immune,probe_consensus,full_genes,omnipath_ref,0.0001489215264053,0.0001489215264053,1.0,1.0,0.0001489215264053,0.0001489215264053,0.0,0.0,0.0,0.0
dorothea_trrust_union_immune,probe_grad_input,crosswalk,omnipath_ref,7.67693827539602e-05,7.67693827539602e-05,1.0,1.0,7.67693827539602e-05,7.67693827539602e-05,0.0,0.0,0.0,0.0
dorothea_trrust_union_immune,probe_grad_input,full_genes,crosswalk,7.67693827539602e-05,7.67693827539602e-05,1.0,1.0,7.67693827539602e-05,7.67693827539602e-05,0.0,0.0,0.0,0.0
dorothea_trrust_union_immune,probe_grad_input,full_genes,omnipath_ref,7.67693827539602e-05,7.67693827539602e-05,1.0,1.0,7.67693827539602e-05,7.67693827539602e-05,0.0,0.0,0.0,0.0
dorothea_trrust_union_immune,probe_integrated_gradients,crosswalk,omnipath_ref,0.0001050471095883,0.0001050471095883,1.0,1.0,0.0001050471095883,0.0001050471095883,0.0,0.0,0.0,0.0
dorothea_trrust_union_immune,probe_integrated_gradients,full_genes,crosswalk,0.0001050471095883,0.0001050471095883,1.0,1.0,0.0001050471095883,0.0001050471095883,0.0,0.0,0.0,0.0
dorothea_trrust_union_immune,probe_integrated_gradients,full_genes,omnipath_ref,0.0001050471095883,0.0001050471095883,1.0,1.0,0.0001050471095883,0.0001050471095883,0.0,0.0,0.0,0.0
dorothea_trrust_union_immune,probe_perturbation,crosswalk,omnipath_ref,0.0001050490195088,0.0001050490195088,1.0,1.0,0.0001050490195088,0.0001050490195088,0.0,0.0,0.0,0.0
dorothea_trrust_union_immune,probe_perturbation,full_genes,crosswalk,0.0001050490195088,0.0001050490195088,1.0,1.0,0.0001050490195088,0.0001050490195088,0.0,0.0,0.0,0.0
dorothea_trrust_union_immune,probe_perturbation,full_genes,omnipath_ref,0.0001050490195088,0.0001050490195088,1.0,1.0,0.0001050490195088,0.0001050490195088,0.0,0.0,0.0,0.0
hpn_dream,attention_inferred,crosswalk,omnipath_ref,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hpn_dream,attention_inferred,full_genes,crosswalk,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hpn_dream,attention_inferred,full_genes,omnipath_ref,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hpn_dream,probe_attention,crosswalk,omnipath_ref,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hpn_dream,probe_attention,full_genes,crosswalk,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hpn_dream,probe_attention,full_genes,omnipath_ref,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hpn_dream,probe_consensus,crosswalk,omnipath_ref,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hpn_dream,probe_consensus,full_genes,crosswalk,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hpn_dream,probe_consensus,full_genes,omnipath_ref,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hpn_dream,probe_grad_input,crosswalk,omnipath_ref,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hpn_dream,probe_grad_input,full_genes,crosswalk,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hpn_dream,probe_grad_input,full_genes,omnipath_ref,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hpn_dream,probe_integrated_gradients,crosswalk,omnipath_ref,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hpn_dream,probe_integrated_gradients,full_genes,crosswalk,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hpn_dream,probe_integrated_gradients,full_genes,omnipath_ref,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hpn_dream,probe_perturbation,crosswalk,omnipath_ref,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hpn_dream,probe_perturbation,full_genes,crosswalk,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hpn_dream,probe_perturbation,full_genes,omnipath_ref,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,attention_inferred,crosswalk,omnipath_ref,0.0,0.0,0.9904795486600844,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,attention_inferred,full_genes,crosswalk,0.0,0.0,0.9904795486600844,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,attention_inferred,full_genes,omnipath_ref,0.0,0.0,0.9904795486600844,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,attention_inferred,legacy_symbols,crosswalk,0.0,0.0,0.15902679830747532,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,attention_inferred,legacy_symbols,full_genes,0.0,0.0,0.15902679830747532,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,attention_inferred,legacy_symbols,omnipath_ref,0.0,0.0,0.15902679830747532,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_attention,crosswalk,omnipath_ref,0.0,0.0,0.9904795486600844,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_attention,full_genes,crosswalk,0.0,0.0,0.9904795486600844,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_attention,full_genes,omnipath_ref,0.0,0.0,0.9904795486600844,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_attention,legacy_symbols,crosswalk,0.0,0.0,0.15902679830747532,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_attention,legacy_symbols,full_genes,0.0,0.0,0.15902679830747532,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_attention,legacy_symbols,omnipath_ref,0.0,0.0,0.15902679830747532,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_consensus,crosswalk,omnipath_ref,0.0,0.0,0.9904795486600844,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_consensus,full_genes,crosswalk,0.0,0.0,0.9904795486600844,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_consensus,full_genes,omnipath_ref,0.0,0.0,0.9904795486600844,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_consensus,legacy_symbols,crosswalk,0.0,0.0,0.15902679830747532,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_consensus,legacy_symbols,full_genes,0.0,0.0,0.15902679830747532,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_consensus,legacy_symbols,omnipath_ref,0.0,0.0,0.15902679830747532,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_grad_input,crosswalk,omnipath_ref,0.0,0.0,0.9904795486600844,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_grad_input,full_genes,crosswalk,0.0,0.0,0.9904795486600844,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_grad_input,full_genes,omnipath_ref,0.0,0.0,0.9904795486600844,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_grad_input,legacy_symbols,crosswalk,0.0,0.0,0.15902679830747532,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_grad_input,legacy_symbols,full_genes,0.0,0.0,0.15902679830747532,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_grad_input,legacy_symbols,omnipath_ref,0.0,0.0,0.15902679830747532,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_integrated_gradients,crosswalk,omnipath_ref,8.63755522636873e-06,8.63755522636873e-06,0.9904795486600844,0.9904795486600844,8.720579075109195e-06,8.720579075109195e-06,0.0,0.0,0.0,0.0
trrust_human,probe_integrated_gradients,full_genes,crosswalk,8.63755522636873e-06,8.63755522636873e-06,0.9904795486600844,0.9904795486600844,8.720579075109195e-06,8.720579075109195e-06,0.0,0.0,0.0,0.0
trrust_human,probe_integrated_gradients,full_genes,omnipath_ref,8.63755522636873e-06,8.63755522636873e-06,0.9904795486600844,0.9904795486600844,8.720579075109195e-06,8.720579075109195e-06,0.0,0.0,0.0,0.0
trrust_human,probe_integrated_gradients,legacy_symbols,crosswalk,8.344737808338063e-06,8.63755522636873e-06,0.15902679830747532,0.9904795486600844,5.247378364622338e-05,8.720579075109195e-06,2.9281741803066794e-07,4.3629471734060186e-05,-4.333665431602952e-05,0.0
trrust_human,probe_integrated_gradients,legacy_symbols,full_genes,8.344737808338063e-06,8.63755522636873e-06,0.15902679830747532,0.9904795486600844,5.247378364622338e-05,8.720579075109195e-06,2.9281741803066794e-07,4.3629471734060186e-05,-4.333665431602952e-05,0.0
trrust_human,probe_integrated_gradients,legacy_symbols,omnipath_ref,8.344737808338063e-06,8.63755522636873e-06,0.15902679830747532,0.9904795486600844,5.247378364622338e-05,8.720579075109195e-06,2.9281741803066794e-07,4.3629471734060186e-05,-4.333665431602952e-05,0.0
trrust_human,probe_perturbation,crosswalk,omnipath_ref,0.0,0.0,0.9904795486600844,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_perturbation,full_genes,crosswalk,0.0,0.0,0.9904795486600844,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_perturbation,full_genes,omnipath_ref,0.0,0.0,0.9904795486600844,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_perturbation,legacy_symbols,crosswalk,0.0,0.0,0.15902679830747532,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_perturbation,legacy_symbols,full_genes,0.0,0.0,0.15902679830747532,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
trrust_human,probe_perturbation,legacy_symbols,omnipath_ref,0.0,0.0,0.15902679830747532,0.9904795486600844,0.0,0.0,0.0,0.0,0.0,0.0
